date,store_id,product_id,product_name,category,region,inventory_level,units_sold,units_ordered,demand_forecast,price,discount,weather_condition,holiday/promotion,competitor_pricing,seasonality
2024-01-01,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,142,67,81,69,58,10,Sunny,0,57.37,Low
2024-01-01,1,P002,Britannia Good Day 600g,Snacks,South,252,42,45,44,120,0,Cloudy,0,131.28,Low
2024-01-01,1,P003,Aashirvaad Atta 5kg,Staples,South,179,58,58,62,248,15,Sunny,1,224.34,Low
2024-01-01,1,P004,Maggi 2-Minute Noodles,Snacks,South,269,45,60,42,48,5,Rainy,1,48.89,Low
2024-01-01,1,P005,Tata Salt 1kg,Staples,South,100,16,22,15,22,0,Rainy,0,23.98,Low
2024-01-01,1,P006,Coca-Cola 600ml,Beverages,South,291,82,90,86,40,10,Cloudy,1,37.93,Low
2024-01-01,1,P007,Parle-G 800g,Snacks,South,221,75,82,72,65,15,Sunny,1,60.87,Low
2024-01-01,1,P008,Surf Excel 1kg,Cleaning,South,183,14,23,12,220,15,Sunny,0,235.06,Low
2024-01-01,1,P009,Amul Butter 500g,Dairy,South,251,54,57,56,275,15,Rainy,1,249.99,Low
2024-01-01,1,P010,Red Label Tea 500g,Beverages,South,286,64,81,63,255,0,Sunny,1,260.46,Low
2024-01-02,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,206,62,76,57,58,0,Rainy,0,61.16,Low
2024-01-02,1,P002,Britannia Good Day 600g,Snacks,South,265,60,70,57,120,0,Stormy,0,126.96,Low
2024-01-02,1,P003,Aashirvaad Atta 5kg,Staples,South,283,72,78,76,248,0,Stormy,0,265.36,Low
2024-01-02,1,P004,Maggi 2-Minute Noodles,Snacks,South,82,22,37,23,48,20,Cloudy,1,49.59,Low
2024-01-02,1,P005,Tata Salt 1kg,Staples,South,263,60,62,55,22,0,Sunny,0,22.94,Low
2024-01-02,1,P006,Coca-Cola 600ml,Beverages,South,267,14,27,15,40,0,Sunny,0,39.42,Low
2024-01-02,1,P007,Parle-G 800g,Snacks,South,228,63,69,58,65,5,Sunny,1,67.54,Low
2024-01-02,1,P008,Surf Excel 1kg,Cleaning,South,286,52,66,50,220,10,Stormy,0,210.75,Low
2024-01-02,1,P009,Amul Butter 500g,Dairy,South,219,32,44,35,275,10,Cloudy,1,291.7,Low
2024-01-02,1,P010,Red Label Tea 500g,Beverages,South,79,72,82,76,255,20,Stormy,0,245.72,Low
2024-01-03,1,P001,Amul Taaza Toned Milk 1L,Dairy,South,170,42,61,45,58,0,Rainy,0,58.12,Low
2024-01-03,1,P002,Britannia Good Day 600g,Snacks,South,274,22,40,26,120,5,Stormy,0,112.04,Low
2024-01-03,1,P003,Aashirvaad Atta 5kg,Staples,South,229,49,65,44,248,0,Stormy,1,235.69,Low
2024-01-03,1,P004,Maggi 2-Minute Noodles,Snacks,South,162,13,17,8,48,0,Rainy,0,52.58,Low
2024-01-03,1,P005,Tata Salt 1kg,Staples,South,273,41,41,36,22,0,Cloudy,0,22.14,Low
2024-01-03,1,P006,Coca-Cola 600ml,Beverages,South,209,40,43,41,40,0,Stormy,0,37.94,Low
